SerialNumber;AssetTag;Name;MemberOf;IsSupervised;IsManaged;IsLostModeEnabled;OsVersion;CurrentLocation;CurrentIPAddress;LastConnected;EnrollmentDate;Notes;DeviceUDID;OwnerFirstName;OwnerLastName;OwnerEmail;OwnerUserName;Model;WiFiMAC;EthernetMAC;IMEI;MEID
F9GSPPXGFCM6;;"Beech iPad";"All iPads,Staff iPads,SayHi App";1;1;;12.5.1;;149.106.164.102;"15-02-2023 12:02:24";"25-04-2019 10:25:08";;ac84e79d6d6935672df0fcce0fe1da539ed8ecb1;;;;;"iPad Mini Retina (WiFi)";5c:f7:e6:4a:13:cb;;;
F9FSPE8TFCM6;;"Hawthorn iPad";"All iPads,Staff iPads,SayHi App";1;1;;12.5.6;"St Lawrence C of E Primary School";91.225.19.229;"05-12-2022 01:21:57";"25-04-2019 10:25:38";;19fe1bea8e9135f330a0f322940e4cf4d5f16a0c;;;;;"iPad Mini Retina (WiFi)";5c:f7:e6:4b:3e:9f;;;
F9FSPFC6FCM6;;"Larch iPad";"All iPads,Staff iPads,SayHi App";1;1;;12.5.5;"St Lawrence C of E Primary School";91.225.19.234;"09-12-2022 03:21:48";"25-04-2019 10:15:57";;bc6a8bc368777e369ef640adde4c955c39a495cb;;;;;"iPad Mini Retina (WiFi)";5c:f7:e6:48:df:ae;;;
F9FSQ404FCM6;;"Maple iPad";"All iPads,Staff iPads,SayHi App";1;1;;11.4.0;"St Lawrence C of E Primary School";91.225.19.226;"01-05-2022 16:29:32";"15-04-2019 12:25:48";;175f9ee85f99024b92cd7db90d137387719155ed;;;;;"iPad Mini Retina (WiFi)";5c:f7:e6:74:73:3a;;;
F9FSQM86FCM6;;"Oak iPad";"All iPads,Staff iPads,SayHi App";1;1;;12.3.1;;149.106.164.102;"15-02-2023 12:02:26";"25-04-2019 10:27:09";;60888bea1ff5ac1183d09a3ba3a6df6054a8da9d;;;;;"iPad Mini Retina (WiFi)";5c:f7:e6:75:67:25;;;
F9GSPNAEFCM6;;"Sycamore iPad";"All iPads,Staff iPads,SayHi App";1;1;;12.5.5;"St Lawrence C of E Primary School";91.225.19.227;"09-12-2022 14:45:09";"25-04-2019 10:27:28";;df6690b0dd5c7dd97d999778668064f317ac2c07;;;;;"iPad Mini Retina (WiFi)";5c:f7:e6:53:1a:55;;;
F9FSP4SPFCM6;;"Willow iPad2";"All iPads,Staff iPads,SayHi App";1;1;;12.5.1;"St Lawrence C of E Primary School";91.225.19.235;"09-12-2022 14:45:09";"25-04-2019 09:43:21";;1eef64b7932fd473419538f465b1c84bda792374;;;;;"iPad Mini Retina (WiFi)";5c:f7:e6:49:74:09;;;
